vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
citrus_roofing,roofing,office_7725881194,Office 7725881194,EA,7725881194.0,,772.0,772.0,
citrus_roofing,roofing,emergency_7722845613,Emergency 7722845613,EA,7722845613.0,,772.0,772.0,
citrus_roofing,roofing,estimate1317,Estimate1317,EA,1.0,,1317.0,1317.0,
citrus_roofing,roofing,1_new_construction_home_assumes_all_plyw,1 New Construction Home assumes all Plywood to be installed by Contractor and Nailed per FBC,EA,1.0,,1.0,1.0,
citrus_roofing,roofing,roof_assembly,3 Dry in all areas using Sharkskin Ultra SA Peel and Stick Underlayment,EA,3.0,,3.0,3.0,
citrus_roofing,roofing,roof_assembly,roof an additional layer of peel and stick will be added from 2 below the new penetration all the way to the first Hip or Ridge to,EA,2.0,,2.0,2.0,
citrus_roofing,roofing,roof_assembly,In all areas a wall adjoins the roof the underlayment will run 4 up the side or head wall junction,EA,4.0,,4.0,4.0,
citrus_roofing,insulation,thermal_insulation,Flat Roof section to receive tapered Rigid Insulation board properly secured onto deck to create a 1812 pitch away from,EA,1812.0,,1.0,1.0,
citrus_roofing,insulation,thermal_insulation,1 Layer of Sharskin Ultra SA Peel and Stick to be applied over Insulation Board up the walls 4 inches and behind drip edge,EA,1.0,,1.0,1.0,
citrus_roofing,roofing,roof_assembly,Capped with GAF EverGuard TPO Roofing to be rolled behind drip and 4 up walls and under reglet at walls,EA,4.0,,4.0,4.0,
citrus_roofing,plumbing,rough-in,1 Furnish and install all related Flashings to be made from 16 oz Copper and installed using Copper Nails,EA,1.0,,1.0,1.0,
citrus_roofing,roofing,roof_assembly,Birdstop or Eave Closure is to be installed above the drip edge this trim has weep holes every 12 to allow any water,EA,12.0,,12.0,12.0,
citrus_roofing,roofing,roof_assembly,All Sidewall Flashing to be double layered 1st flashing installed on top of first layer of Underlayment with second layer,EA,1.0,,1.0,1.0,
citrus_roofing,roofing,roof_assembly,of underlayment to cover the flashing 2nd layer of flashing installed on top of tile to guarantee positive drainage,EA,1.0,,2.0,2.0,
citrus_roofing,roofing,roof_assembly,Lead Flashings 30x30 to be installed at transitions from Valley to Roof,EA,1.0,,30.0,30.0,
citrus_roofing,roofing,page_1_estimate_1317,Page 1 Estimate 1317,EA,1.0,,1.0,1.0,
citrus_roofing,tile,floor_tile,2 Tile is to be roof loaded onto the roof of the home by SCGs Supplier of Choice Driveway must be clear on day of roof load,EA,2.0,,2.0,2.0,
citrus_roofing,tile,floor_tile,3 Furnish and install a Concrete Plantation Roof Tile White Slurry Coated,EA,3.0,,3.0,3.0,
citrus_roofing,tile,floor_tile,4 Tile to be installed using 212 Long 304 grade stainless steel screws,EA,4.0,,4.0,4.0,
citrus_roofing,tile,floor_tile,5 Hip and Ridge Trim Tile to be installed using ICP APOC Foam Tile Adhesive in any areas where it is impossible to use a screw,EA,5.0,,5.0,5.0,
citrus_roofing,roofing,6_color_matched_mortar_to_be_used_cosmet,6 Color Matched Mortar to be used cosmetically on Hip and Ridge and other areas requiring extra closure,EA,6.0,,6.0,6.0,
citrus_roofing,roofing,7_all_valleys_and_associated_trim_inters,7 All Valleys and Associated Trim Intersections to be sealed using Mastic Brand Butyl sealant to assure water tightness,EA,7.0,,7.0,7.0,
citrus_roofing,roofing,roof_assembly,9 Furnish and install Lead Pipe Flashing Boots on all plumbing pipes Flange of Lead Boot to be Peel and Sticked to ensure seal to,EA,9.0,,9.0,9.0,
citrus_roofing,plumbing,rough-in,10 Furnish and install Custom 16 oz Copper Gooseneck Vents and 4 Off Ridge Vents on all existing locations,EA,10.0,,10.0,10.0,
citrus_roofing,roofing,roof_assembly,Upon completion of the job you will receive a 7 yr Citrus Roofing and Construction LLC Guarantee that the roof will not leak,EA,7.0,,7.0,7.0,
citrus_roofing,roofing,payments_to_be_made_in_3_increments,Payments to be made in 3 increments,EA,3.0,,3.0,3.0,
citrus_roofing,roofing,of_375,OF 375,EA,375.0,,3.75,3.75,
citrus_roofing,roofing,page_2_estimate_1317,Page 2 Estimate 1317,EA,2.0,,2.0,2.0,
citrus_roofing,roofing,page_3_estimate_1317,Page 3 Estimate 1317,EA,3.0,,3.0,3.0,
